city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Oranjestad,Oranjestad,12.5186,-70.0358,Aruba,AW,ABW,,primary,28658,1533513057
Tanki Leendert,Tanki Leendert,12.5418,-70.022,Aruba,AW,ABW,,,21495,1533786612
Kabul,Kabul,34.5253,69.1783,Afghanistan,AF,AFG,K?bul,primary,4273156,1004993580
Mucaba,Mucaba,-7.1667,14.9333,Angola,AO,AGO,U°ge,,43974,1024000008
Sarandâ,Sarande,39.877,20,Albania,AL,ALB,Vlorâ,,41000,1008879697
Burrel,Burrel,41.6083,20.0111,Albania,AL,ALB,Dibâr,,10862,1008883153
Lezhâ,Lezhe,41.7819,19.6444,Albania,AL,ALB,Lezhâ,admin,15510,1008889153
Berat,Berat,40.7049,19.9497,Albania,AL,ALB,Berat,admin,36496,1008955153
Shkodâr,Shkoder,42.0681,19.5119,Albania,AL,ALB,Shkodâr,admin,76000,1008977725
Escaldes-Engordany,Escaldes-Engordany,42.5089,1.5408,Andorra,AD,AND,Escaldes-Engordany,admin,15506,1020008674
Encamp,Encamp,42.5361,1.5828,Andorra,AD,AND,Encamp,admin,12826,1020417470
La Massana,La Massana,42.5444,1.5144,Andorra,AD,AND,La Massana,admin,11591,1020543453
Canillo,Canillo,42.5667,1.6,Andorra,AD,AND,Canillo,admin,5781,1020594179
Ordino,Ordino,42.555,1.5331,Andorra,AD,AND,Ordino,admin,4858,1020655238
Andorra la Vella,Andorra la Vella,42.5,1.5,Andorra,AD,AND,Andorra la Vella,primary,22615,1020828846
Sant JuliÖ de Lïria,Sant Julia de Loria,42.465,1.4911,Andorra,AD,AND,Sant JuliÖ de Lïria,admin,9915,1020885733
Sant Pere,Sant Pere,42.5,1.5,Andorra,AD,AND,Canillo,,22256,1020982719
Ra?s al Khaymah,Ra's al Khaymah,25.7667,55.95,United Arab Emirates,AE,ARE,Ra?s al Khaymah,admin,115949,1784053892
Al Jaz?rah al ?amr??,Al Jazirah al Hamra',25.7089,55.7972,United Arab Emirates,AE,ARE,Ra?s al Khaymah,,10190,1784137216
Sharjah,Sharjah,25.3575,55.3908,United Arab Emirates,AE,ARE,Ash Sh?riqah,admin,1247749,1784152993
Abu Dhabi,Abu Dhabi,24.4667,54.3667,United Arab Emirates,AE,ARE,Ab? Z?aby,primary,1483000,1784176710
?Ajm?n,`Ajman,25.4136,55.4456,United Arab Emirates,AE,ARE,?Ajm?n,admin,490035,1784337875
Umm al Qaywayn,Umm al Qaywayn,25.5533,55.5475,United Arab Emirates,AE,ARE,Umm al Qaywayn,admin,59098,1784525230
Al ?Ayn,Al `Ayn,24.2075,55.7447,United Arab Emirates,AE,ARE,Ab? Z?aby,,766936,1784674685
Dubai,Dubai,25.2631,55.2972,United Arab Emirates,AE,ARE,Dubayy,admin,3331420,1784736618
Mad?nat Z?yid,Madinat Zayid,23.6522,53.6536,United Arab Emirates,AE,ARE,Ab? Z?aby,,29095,1784810704
Al Fujayrah,Al Fujayrah,25.1222,56.3344,United Arab Emirates,AE,ARE,Al Fujayrah,admin,93673,1784909196
Khawr Fakk?n,Khawr Fakkan,25.3333,56.35,United Arab Emirates,AE,ARE,Ash Sh?riqah,,43223,1784935461
Kalb?,Kalba,25.0742,56.3553,United Arab Emirates,AE,ARE,Ash Sh?riqah,,51000,1784956003
Casilda,Casilda,-33.05,-61.1667,Argentina,AR,ARG,Santa Fe,minor,35058,1032000005
Mart°nez,Martinez,-34.4833,-58.5,Argentina,AR,ARG,Buenos Aires,,65859,1032000014
Recreo,Recreo,-29.2667,-65.0667,Argentina,AR,ARG,Catamarca,,11847,1032000017
Coronda,Coronda,-31.9667,-60.9167,Argentina,AR,ARG,Santa Fe,minor,18115,1032005345
Tornquist,Tornquist,-38.1,-62.2167,Argentina,AR,ARG,Buenos Aires,minor,11759,1032008603
Lan£s,Lanus,-34.7,-58.4,Argentina,AR,ARG,Buenos Aires,minor,459263,1032009573
Malvinas Argentinas,Malvinas Argentinas,-31.3697,-64.0531,Argentina,AR,ARG,C¢rdoba,,12187,1032010904
La Reja,La Reja,-34.6394,-58.8283,Argentina,AR,ARG,Buenos Aires,,47839,1032013959
Rold†n,Roldan,-32.9011,-60.9072,Argentina,AR,ARG,Santa Fe,,14113,1032014352
General Pacheco,General Pacheco,-34.45,-58.65,Argentina,AR,ARG,Buenos Aires,,43287,1032016569
Embalse,Embalse,-32.1833,-64.4167,Argentina,AR,ARG,C¢rdoba,,9660,1032017911
Balneario Monte Hermoso,Balneario Monte Hermoso,-38.9833,-61.3,Argentina,AR,ARG,Buenos Aires,,8821,1032019917
San Ram¢n de la Nueva Or†n,San Ramon de la Nueva Oran,-23.1333,-64.3333,Argentina,AR,ARG,Salta,minor,76070,1032020207
Florencio Varela,Florencio Varela,-34.8167,-58.2833,Argentina,AR,ARG,Buenos Aires,minor,146704,1032021324
Chamical,Chamical,-30.3667,-66.3167,Argentina,AR,ARG,La Rioja,minor,12919,1032026963
Bell Ville,Bell Ville,-32.6333,-62.6833,Argentina,AR,ARG,C¢rdoba,minor,33835,1032028928
San Carlos Centro,San Carlos Centro,-31.7333,-61.1,Argentina,AR,ARG,Santa Fe,,11055,1032029022
Bernal,Bernal,-34.7,-58.2833,Argentina,AR,ARG,Buenos Aires,,109914,1032030395
Tostado,Tostado,-29.2333,-61.7667,Argentina,AR,ARG,Santa Fe,minor,14582,1032032722
Tolosa,Tolosa,-34.8942,-57.9647,Argentina,AR,ARG,Buenos Aires,,41705,1032033816
San Miguel,San Miguel,-34.5333,-58.7167,Argentina,AR,ARG,Buenos Aires,,157532,1032038706
Tigre,Tigre,-34.5,-58.6167,Argentina,AR,ARG,Buenos Aires,minor,64867,1032039225
Villa µngela,Villa Angela,-27.5833,-60.7167,Argentina,AR,ARG,Chaco,minor,41403,1032039944
Comodoro Rivadavia,Comodoro Rivadavia,-45.8647,-67.4808,Argentina,AR,ARG,Chubut,minor,201228,1032042035
Villa Elisa,Villa Elisa,-32.1667,-58.4,Argentina,AR,ARG,Entre R°os,,10266,1032046223
Leandro N. Alem,Leandro N. Alem,-27.6,-55.3333,Argentina,AR,ARG,Misiones,minor,25404,1032046721
Puan,Puan,-37.55,-62.7667,Argentina,AR,ARG,Buenos Aires,minor,16381,1032047126
